time_index,session_id,scenario,voltage,current,energy_kwh
32,S_NORM_4,normal,229.44,31.77,0.06731
33,S_NORM_4,normal,229.79,31.94,0.06934
34,S_NORM_4,normal,230.43,32.18,0.0714
35,S_NORM_4,normal,229.77,31.7,0.07343
36,S_NORM_4,normal,229.91,31.94,0.07547
37,S_NORM_4,normal,229.64,31.84,0.0775
38,S_NORM_4,normal,230.33,32.22,0.07956
39,S_NORM_4,normal,231.35,31.86,0.08161
40,S_NORM_4,normal,230.7,31.96,0.08365
41,S_NORM_4,normal,230.2,31.89,0.08569
42,S_NORM_4,normal,230.81,32.03,0.08775
43,S_NORM_4,normal,229.25,32.01,0.08979
44,S_NORM_4,normal,229.9,32.12,0.09184
45,S_NORM_4,normal,229.0,31.99,0.09387
46,S_NORM_4,normal,227.87,31.84,0.09589
47,S_NORM_4,normal,230.13,32.18,0.09794
48,S_NORM_4,normal,229.4,32.09,0.09999
49,S_NORM_4,normal,229.68,31.68,0.10201
50,S_NORM_4,normal,228.89,32.22,0.10406
51,S_NORM_4,normal,229.14,31.63,0.10607
52,S_NORM_4,normal,230.7,31.86,0.10811
53,S_NORM_4,normal,230.09,32.07,0.11016
54,S_NORM_4,normal,228.8,32.26,0.11221
55,S_NORM_4,normal,229.79,32.0,0.11426
56,S_NORM_4,normal,229.37,32.05,0.1163
57,S_NORM_4,normal,229.41,32.09,0.11834
58,S_NORM_4,normal,230.56,32.18,0.12041
59,S_NORM_4,normal,229.68,31.61,0.12242
0,S_NORM_5,normal,231.22,31.78,0.00204
1,S_NORM_5,normal,230.21,32.14,0.0041
2,S_NORM_5,normal,230.22,31.97,0.00614
3,S_NORM_5,normal,230.33,31.52,0.00816
4,S_NORM_5,normal,230.06,31.76,0.01019
5,S_NORM_5,normal,230.27,32.12,0.01224
6,S_NORM_5,normal,229.99,32.32,0.01431
7,S_NORM_5,normal,230.71,32.0,0.01636
8,S_NORM_5,normal,229.82,31.9,0.01839
9,S_NORM_5,normal,229.62,31.98,0.02043
10,S_NORM_5,normal,229.74,32.12,0.02248
11,S_NORM_5,normal,229.51,31.99,0.02452
12,S_NORM_5,normal,229.87,31.99,0.02657
13,S_NORM_5,normal,229.51,32.2,0.02862
14,S_NORM_5,normal,230.43,31.97,0.03067
15,S_NORM_5,normal,229.68,32.08,0.03271
16,S_NORM_5,normal,230.36,31.74,0.03474
17,S_NORM_5,normal,230.88,31.82,0.03678
18,S_NORM_5,normal,228.93,31.78,0.03881
19,S_NORM_5,normal,229.84,32.18,0.04086
20,S_NORM_5,normal,230.36,31.93,0.0429
21,S_NORM_5,normal,229.22,32.19,0.04495
22,S_NORM_5,normal,230.88,32.19,0.04702
23,S_NORM_5,normal,229.38,32.01,0.04906
24,S_NORM_5,normal,230.68,32.0,0.05111
25,S_NORM_5,normal,229.66,32.01,0.05315
26,S_NORM_5,normal,229.21,32.06,0.05519
27,S_NORM_5,normal,230.26,31.83,0.05723
28,S_NORM_5,normal,230.2,31.89,0.05927
29,S_NORM_5,normal,230.23,32.49,0.06134
30,S_NORM_5,normal,229.0,31.64,0.06336
31,S_NORM_5,normal,229.74,31.85,0.06539
32,S_NORM_5,normal,229.68,31.93,0.06743
33,S_NORM_5,normal,229.85,32.3,0.06949
34,S_NORM_5,normal,230.49,32.02,0.07154
35,S_NORM_5,normal,230.48,31.86,0.07358
36,S_NORM_5,normal,229.73,31.76,0.07561
37,S_NORM_5,normal,230.54,32.1,0.07766
38,S_NORM_5,normal,229.59,31.92,0.0797
39,S_NORM_5,normal,230.16,32.14,0.08175
40,S_NORM_5,normal,229.39,32.04,0.08379
41,S_NORM_5,normal,230.08,31.79,0.08582
42,S_NORM_5,normal,229.79,32.05,0.08787
43,S_NORM_5,normal,229.83,32.3,0.08993
44,S_NORM_5,normal,230.39,31.99,0.09198
45,S_NORM_5,normal,230.27,32.48,0.09406
46,S_NORM_5,normal,228.67,31.96,0.09609
47,S_NORM_5,normal,229.58,32.18,0.09814
48,S_NORM_5,normal,230.31,31.91,0.10018
49,S_NORM_5,normal,228.89,31.94,0.10221
50,S_NORM_5,normal,229.45,32.07,0.10426
51,S_NORM_5,normal,229.77,31.86,0.10629
52,S_NORM_5,normal,230.2,31.72,0.10832
53,S_NORM_5,normal,229.66,32.17,0.11037
54,S_NORM_5,normal,229.88,32.0,0.11241
55,S_NORM_5,normal,229.77,31.71,0.11444
56,S_NORM_5,normal,230.17,31.74,0.11647
57,S_NORM_5,normal,229.48,32.02,0.11851
58,S_NORM_5,normal,230.45,31.78,0.12054
59,S_NORM_5,normal,229.69,32.26,0.1226
0,S_NORM_6,normal,229.8,32.01,0.00204
1,S_NORM_6,normal,229.54,31.96,0.00408
2,S_NORM_6,normal,230.68,32.11,0.00614
3,S_NORM_6,normal,229.32,31.84,0.00817
4,S_NORM_6,normal,230.67,32.11,0.01022
5,S_NORM_6,normal,230.12,31.98,0.01227
6,S_NORM_6,normal,229.57,32.14,0.01432
7,S_NORM_6,normal,230.53,32.2,0.01638
8,S_NORM_6,normal,229.73,31.58,0.01839
9,S_NORM_6,normal,230.11,32.45,0.02047
10,S_NORM_6,normal,230.35,31.93,0.02251
11,S_NORM_6,normal,230.14,31.98,0.02456
12,S_NORM_6,normal,229.89,31.76,0.02658
13,S_NORM_6,normal,229.54,32.01,0.02863
14,S_NORM_6,normal,230.16,32.16,0.03068
15,S_NORM_6,normal,229.89,31.94,0.03272
16,S_NORM_6,normal,230.49,31.73,0.03475
17,S_NORM_6,normal,229.06,31.79,0.03678
18,S_NORM_6,normal,230.21,32.09,0.03883
19,S_NORM_6,normal,229.39,32.0,0.04087
20,S_NORM_6,normal,231.04,31.81,0.04291
21,S_NORM_6,normal,229.43,31.66,0.04493
22,S_NORM_6,normal,229.24,31.71,0.04695
23,S_NORM_6,normal,230.47,31.7,0.04897
24,S_NORM_6,normal,229.78,32.35,0.05104
25,S_NORM_6,normal,230.34,32.0,0.05309
26,S_NORM_6,normal,230.35,31.96,0.05513
27,S_NORM_6,normal,230.1,32.16,0.05719
28,S_NORM_6,normal,230.34,31.95,0.05923
29,S_NORM_6,normal,230.4,32.08,0.06128
30,S_NORM_6,normal,229.87,32.4,0.06335
31,S_NORM_6,normal,229.88,32.01,0.0654
32,S_NORM_6,normal,230.04,32.32,0.06746
33,S_NORM_6,normal,229.71,32.03,0.06951
34,S_NORM_6,normal,229.5,32.33,0.07157
35,S_NORM_6,normal,229.94,32.34,0.07363
36,S_NORM_6,normal,229.51,31.92,0.07567
37,S_NORM_6,normal,229.36,31.7,0.07769
38,S_NORM_6,normal,229.79,31.75,0.07971
39,S_NORM_6,normal,229.85,31.97,0.08176
40,S_NORM_6,normal,229.93,32.13,0.08381
41,S_NORM_6,normal,231.14,31.89,0.08586
42,S_NORM_6,normal,229.97,31.9,0.08789
43,S_NORM_6,normal,230.05,31.96,0.08994
44,S_NORM_6,normal,228.99,31.94,0.09197
45,S_NORM_6,normal,229.72,32.23,0.09402
46,S_NORM_6,normal,230.33,32.2,0.09608
47,S_NORM_6,normal,229.65,31.82,0.09811
48,S_NORM_6,normal,229.77,32.17,0.10017
49,S_NORM_6,normal,230.15,31.92,0.10221
50,S_NORM_6,normal,229.43,31.66,0.10423
51,S_NORM_6,normal,230.45,31.92,0.10627
52,S_NORM_6,normal,229.49,31.9,0.1083
53,S_NORM_6,normal,229.59,32.2,0.11036
54,S_NORM_6,normal,230.22,31.99,0.1124
55,S_NORM_6,normal,231.08,31.57,0.11443
56,S_NORM_6,normal,230.37,31.78,0.11646
57,S_NORM_6,normal,229.74,32.54,0.11854
58,S_NORM_6,normal,229.33,32.09,0.12058
59,S_NORM_6,normal,230.22,31.92,0.12263
0,S_NORM_7,normal,229.47,31.82,0.00203
1,S_NORM_7,normal,231.17,32.44,0.00411
2,S_NORM_7,normal,229.68,31.94,0.00615
3,S_NORM_7,normal,229.83,32.04,0.00819
4,S_NORM_7,normal,228.79,32.39,0.01025
5,S_NORM_7,normal,229.62,31.59,0.01227
6,S_NORM_7,normal,230.54,31.98,0.01432
7,S_NORM_7,normal,229.94,32.29,0.01638
8,S_NORM_7,normal,230.95,32.24,0.01845
9,S_NORM_7,normal,229.49,32.15,0.0205
10,S_NORM_7,normal,229.93,31.61,0.02252
11,S_NORM_7,normal,229.64,32.01,0.02456
12,S_NORM_7,normal,228.93,31.4,0.02655
13,S_NORM_7,normal,229.49,32.01,0.02859
14,S_NORM_7,normal,229.77,32.23,0.03065
15,S_NORM_7,normal,231.1,31.93,0.0327
16,S_NORM_7,normal,229.86,31.66,0.03472
17,S_NORM_7,normal,229.35,32.09,0.03677
18,S_NORM_7,normal,230.15,32.12,0.03882
19,S_NORM_7,normal,229.96,31.76,0.04085
20,S_NORM_7,normal,229.74,31.66,0.04287
21,S_NORM_7,normal,229.44,31.99,0.04491
22,S_NORM_7,normal,230.57,32.42,0.04699
23,S_NORM_7,normal,229.84,32.02,0.04903
24,S_NORM_7,normal,228.7,32.33,0.05108
25,S_NORM_7,normal,229.51,31.8,0.05311
26,S_NORM_7,normal,230.05,32.15,0.05517
27,S_NORM_7,normal,229.64,31.72,0.05719
28,S_NORM_7,normal,230.05,31.66,0.05921
29,S_NORM_7,normal,229.2,32.0,0.06125
30,S_NORM_7,normal,230.34,32.12,0.0633
31,S_NORM_7,normal,230.39,32.33,0.06537
32,S_NORM_7,normal,229.87,32.23,0.06743
33,S_NORM_7,normal,228.84,32.28,0.06948
34,S_NORM_7,normal,229.3,31.97,0.07152
35,S_NORM_7,normal,229.8,31.9,0.07356
36,S_NORM_7,normal,230.38,31.97,0.0756
37,S_NORM_7,normal,230.51,32.09,0.07766
38,S_NORM_7,normal,230.6,32.18,0.07972
39,S_NORM_7,normal,230.18,32.22,0.08178
40,S_NORM_7,normal,230.44,32.31,0.08385
41,S_NORM_7,normal,229.86,32.38,0.08591
42,S_NORM_7,normal,230.41,32.07,0.08797
43,S_NORM_7,normal,229.2,32.06,0.09001
44,S_NORM_7,normal,230.36,31.61,0.09203
45,S_NORM_7,normal,230.43,31.87,0.09407
46,S_NORM_7,normal,229.78,31.88,0.09611
47,S_NORM_7,normal,229.64,31.84,0.09814
48,S_NORM_7,normal,229.48,32.03,0.10018
49,S_NORM_7,normal,230.77,31.81,0.10222
50,S_NORM_7,normal,230.67,31.58,0.10424
51,S_NORM_7,normal,230.02,31.97,0.10628
52,S_NORM_7,normal,230.0,31.88,0.10832
53,S_NORM_7,normal,229.18,31.9,0.11035
54,S_NORM_7,normal,229.7,32.12,0.1124
55,S_NORM_7,normal,229.44,31.84,0.11443
56,S_NORM_7,normal,229.58,32.27,0.11649
57,S_NORM_7,normal,230.57,32.23,0.11855
58,S_NORM_7,normal,229.63,31.79,0.12058
59,S_NORM_7,normal,229.42,32.37,0.12264
0,S_NORM_8,normal,229.09,31.8,0.00202
1,S_NORM_8,normal,229.49,32.0,0.00406
2,S_NORM_8,normal,229.92,32.16,0.00612
3,S_NORM_8,normal,229.66,32.33,0.00818
4,S_NORM_8,normal,229.74,31.94,0.01022
5,S_NORM_8,normal,229.49,32.1,0.01226
6,S_NORM_8,normal,228.96,31.9,0.01429
7,S_NORM_8,normal,229.68,32.01,0.01634
8,S_NORM_8,normal,229.78,31.86,0.01837
9,S_NORM_8,normal,229.15,32.02,0.02041
10,S_NORM_8,normal,230.94,31.94,0.02246
11,S_NORM_8,normal,229.73,32.34,0.02452
12,S_NORM_8,normal,229.89,31.81,0.02655
13,S_NORM_8,normal,230.17,31.56,0.02857
14,S_NORM_8,normal,230.44,32.4,0.03064
15,S_NORM_8,normal,230.15,32.03,0.03269
16,S_NORM_8,normal,230.0,31.66,0.03471
17,S_NORM_8,normal,229.89,32.02,0.03676
18,S_NORM_8,normal,230.83,31.84,0.0388
19,S_NORM_8,normal,230.73,31.65,0.04083
20,S_NORM_8,normal,229.44,31.78,0.04285
21,S_NORM_8,normal,229.79,32.03,0.0449
22,S_NORM_8,normal,230.32,32.06,0.04695
23,S_NORM_8,normal,229.6,32.25,0.049
24,S_NORM_8,normal,229.52,32.08,0.05105
25,S_NORM_8,normal,230.63,32.11,0.05311
26,S_NORM_8,normal,229.88,32.03,0.05515
27,S_NORM_8,normal,230.62,31.77,0.05719
28,S_NORM_8,normal,229.57,31.84,0.05922
29,S_NORM_8,normal,229.71,32.2,0.06127
30,S_NORM_8,normal,229.82,31.59,0.06329
31,S_NORM_8,normal,230.04,32.38,0.06536
32,S_NORM_8,normal,229.73,31.89,0.06739
33,S_NORM_8,normal,230.09,31.89,0.06943
34,S_NORM_8,normal,231.0,32.24,0.0715
35,S_NORM_8,normal,229.91,31.75,0.07353
36,S_NORM_8,normal,229.59,32.04,0.07557
37,S_NORM_8,normal,229.84,31.88,0.07761
38,S_NORM_8,normal,230.27,31.76,0.07964
39,S_NORM_8,normal,229.17,31.41,0.08164
40,S_NORM_8,normal,229.8,32.06,0.08368
41,S_NORM_8,normal,230.55,32.03,0.08573
42,S_NORM_8,normal,230.65,31.87,0.08778
43,S_NORM_8,normal,230.22,31.8,0.08981
44,S_NORM_8,normal,230.59,32.07,0.09186
45,S_NORM_8,normal,230.42,31.9,0.09391
46,S_NORM_8,normal,230.17,32.23,0.09597
47,S_NORM_8,normal,230.04,32.01,0.09801
48,S_NORM_8,normal,229.66,31.87,0.10004
49,S_NORM_8,normal,229.3,32.05,0.10209
50,S_NORM_8,normal,230.11,32.17,0.10414
51,S_NORM_8,normal,229.34,32.14,0.10619
52,S_NORM_8,normal,230.85,31.97,0.10824
53,S_NORM_8,normal,229.61,32.11,0.11029
54,S_NORM_8,normal,230.09,31.89,0.11233
55,S_NORM_8,normal,229.03,32.32,0.11438
56,S_NORM_8,normal,230.26,32.16,0.11644
57,S_NORM_8,normal,230.61,31.79,0.11848
58,S_NORM_8,normal,229.57,31.98,0.12052
59,S_NORM_8,normal,230.37,32.02,0.12256
0,S_NORM_9,normal,229.72,31.93,0.00204
1,S_NORM_9,normal,229.28,32.17,0.00409
2,S_NORM_9,normal,229.63,31.7,0.00611
3,S_NORM_9,normal,228.74,32.19,0.00815
4,S_NORM_9,normal,230.59,32.17,0.01021
5,S_NORM_9,normal,230.15,31.93,0.01226
6,S_NORM_9,normal,229.13,32.01,0.01429
7,S_NORM_9,normal,230.92,31.93,0.01634
8,S_NORM_9,normal,230.53,32.39,0.01841
9,S_NORM_9,normal,229.48,32.08,0.02046
10,S_NORM_9,normal,230.25,32.08,0.02251
11,S_NORM_9,normal,228.69,32.05,0.02455
12,S_NORM_9,normal,230.19,31.79,0.02658
13,S_NORM_9,normal,230.17,32.03,0.02863
14,S_NORM_9,normal,229.94,31.8,0.03066
15,S_NORM_9,normal,230.26,31.86,0.0327
16,S_NORM_9,normal,230.45,31.81,0.03473
17,S_NORM_9,normal,229.26,31.82,0.03676
18,S_NORM_9,normal,229.6,32.07,0.03881
19,S_NORM_9,normal,229.6,31.83,0.04083
20,S_NORM_9,normal,230.27,32.17,0.04289
21,S_NORM_9,normal,230.45,31.8,0.04493
22,S_NORM_9,normal,229.56,31.9,0.04696
23,S_NORM_9,normal,230.25,31.94,0.04901
24,S_NORM_9,normal,229.67,32.06,0.05105
25,S_NORM_9,normal,230.74,32.34,0.05312
26,S_NORM_9,normal,230.97,32.06,0.05518
27,S_NORM_9,normal,229.28,31.71,0.0572
28,S_NORM_9,normal,230.31,32.19,0.05926
29,S_NORM_9,normal,230.43,31.89,0.0613
30,S_NORM_9,normal,229.08,31.79,0.06332
31,S_NORM_9,normal,229.39,32.19,0.06537
32,S_NORM_9,normal,228.94,31.95,0.0674
33,S_NORM_9,normal,229.88,32.04,0.06945
34,S_NORM_9,normal,230.19,31.83,0.07149
35,S_NORM_9,normal,230.09,32.29,0.07355
36,S_NORM_9,normal,230.36,31.89,0.07559
37,S_NORM_9,normal,230.68,32.11,0.07765
38,S_NORM_9,normal,230.47,31.98,0.0797
39,S_NORM_9,normal,229.49,31.78,0.08172
40,S_NORM_9,normal,230.41,32.08,0.08377
41,S_NORM_9,normal,229.7,32.09,0.08582
42,S_NORM_9,normal,229.91,31.63,0.08784
43,S_NORM_9,normal,230.42,31.9,0.08988
44,S_NORM_9,normal,230.32,32.12,0.09194
45,S_NORM_9,normal,229.63,32.08,0.09399
46,S_NORM_9,normal,230.24,31.67,0.09601
47,S_NORM_9,normal,229.33,31.77,0.09803
48,S_NORM_9,normal,229.94,32.15,0.10009
49,S_NORM_9,normal,229.63,31.84,0.10212
50,S_NORM_9,normal,230.28,32.25,0.10418
51,S_NORM_9,normal,229.42,32.24,0.10624
52,S_NORM_9,normal,229.18,31.97,0.10827
53,S_NORM_9,normal,231.19,32.55,0.11036
54,S_NORM_9,normal,230.59,31.5,0.11238
55,S_NORM_9,normal,230.24,32.15,0.11444
