time_index,session_id,voltage,current,energy_kwh,status,label
16,S4,231.5,10.6,0.01135,charging,normal
17,S4,230.8,10.5,0.01202,charging,normal
18,S4,232.2,10.9,0.01272,charging,normal
19,S4,230.9,10.5,0.0134,charging,normal
20,S4,231.2,10.0,0.01404,charging,normal
21,S4,231.4,10.7,0.01473,charging,normal
22,S4,231.1,9.9,0.01536,charging,normal
23,S4,232.0,10.4,0.01603,charging,normal
24,S4,231.2,9.9,0.01667,charging,normal
25,S4,232.1,9.9,0.0173,charging,normal
26,S4,232.2,10.0,0.01795,charging,normal
27,S4,232.2,10.0,0.01859,charging,normal
28,S4,231.0,10.2,0.01925,charging,normal
29,S4,232.2,10.7,0.01994,finished,normal
0,S5,230.6,10.1,0.00065,charging,normal
1,S5,231.5,9.7,0.00127,charging,normal
2,S5,230.6,10.2,0.00192,charging,normal
3,S5,231.6,9.9,0.00256,charging,normal
4,S5,232.2,10.2,0.00322,charging,normal
5,S5,231.1,10.1,0.00387,charging,normal
6,S5,231.1,10.0,0.00451,charging,normal
7,S5,230.5,9.8,0.00514,charging,normal
8,S5,231.7,9.4,0.00574,charging,normal
9,S5,230.5,9.5,0.00635,charging,normal
10,S5,231.7,10.2,0.00701,charging,normal
11,S5,231.2,10.3,0.00767,charging,normal
12,S5,230.8,9.6,0.00828,charging,normal
13,S5,230.7,9.6,0.0089,charging,normal
14,S5,231.7,10.4,0.00957,charging,normal
15,S5,231.8,9.8,0.0102,charging,normal
16,S5,231.8,9.9,0.01084,charging,normal
17,S5,231.5,9.6,0.01145,charging,normal
18,S5,230.9,10.1,0.0121,charging,normal
19,S5,232.3,10.2,0.01276,charging,normal
20,S5,231.0,9.5,0.01337,charging,normal
21,S5,232.2,9.9,0.01401,charging,normal
22,S5,232.0,9.6,0.01463,charging,normal
23,S5,232.1,9.7,0.01525,charging,normal
24,S5,230.7,9.5,0.01586,charging,normal
25,S5,230.8,9.9,0.0165,charging,normal
26,S5,230.7,9.7,0.01712,charging,normal
27,S5,231.6,9.8,0.01775,charging,normal
28,S5,231.3,9.7,0.01837,charging,normal
29,S5,231.5,9.7,0.01899,finished,normal
0,S6,232.2,9.1,0.00059,charging,normal
1,S6,232.7,8.9,0.00116,charging,normal
2,S6,231.6,9.3,0.00176,charging,normal
3,S6,232.8,9.1,0.00235,charging,normal
4,S6,232.6,8.9,0.00292,charging,normal
5,S6,232.5,9.6,0.00354,charging,normal
6,S6,232.4,9.3,0.00414,charging,normal
7,S6,232.9,9.2,0.00474,charging,normal
8,S6,232.1,9.1,0.00533,charging,normal
9,S6,232.2,9.6,0.00595,charging,normal
10,S6,233.4,9.5,0.00656,charging,normal
11,S6,232.6,9.0,0.00714,charging,normal
12,S6,232.3,9.4,0.00775,charging,normal
13,S6,232.1,9.8,0.00838,charging,normal
14,S6,232.0,9.6,0.009,charging,normal
15,S6,231.6,9.6,0.00962,charging,normal
16,S6,233.0,9.4,0.01023,charging,normal
17,S6,233.2,9.7,0.01085,charging,normal
18,S6,231.5,9.4,0.01146,charging,normal
19,S6,231.5,9.1,0.01204,charging,normal
20,S6,231.7,9.5,0.01266,charging,normal
21,S6,233.3,8.8,0.01323,charging,normal
22,S6,233.0,9.8,0.01386,charging,normal
23,S6,233.1,9.3,0.01446,charging,normal
24,S6,231.7,9.1,0.01505,charging,normal
25,S6,233.4,9.1,0.01564,charging,normal
26,S6,233.0,9.8,0.01627,charging,normal
27,S6,231.9,9.4,0.01688,charging,normal
28,S6,231.7,9.6,0.0175,charging,normal
29,S6,233.4,9.3,0.0181,finished,normal
0,S7,231.9,9.8,0.00063,charging,fraud
1,S7,230.4,9.6,0.00125,charging,fraud
2,S7,232.0,9.7,0.00187,charging,fraud
3,S7,231.3,9.6,0.00249,charging,fraud
4,S7,232.0,9.3,0.00309,charging,fraud
5,S7,230.8,9.5,0.0037,charging,fraud
6,S7,232.0,9.8,0.00433,charging,fraud
7,S7,231.0,9.8,0.00496,charging,fraud
8,S7,231.4,9.7,0.00558,charging,fraud
9,S7,232.3,9.8,0.00621,charging,fraud
10,S7,279.7,9.8,0.00697,charging,fraud
11,S7,272.0,9.4,0.00768,charging,fraud
12,S7,270.2,9.7,0.00841,charging,fraud
13,S7,286.9,9.9,0.0092,charging,fraud
14,S7,277.6,10.0,0.00997,charging,fraud
15,S7,232.1,9.4,0.01058,charging,fraud
16,S7,232.4,9.0,0.01116,charging,fraud
17,S7,232.2,9.4,0.01177,charging,fraud
18,S7,231.3,9.0,0.01234,charging,fraud
19,S7,232.2,9.3,0.01294,charging,fraud
20,S7,232.0,9.4,0.01355,charging,fraud
21,S7,232.2,9.1,0.01414,charging,fraud
22,S7,231.4,9.5,0.01475,charging,fraud
23,S7,232.3,9.1,0.01533,charging,fraud
24,S7,231.4,9.9,0.01597,charging,fraud
25,S7,231.2,9.2,0.01656,charging,fraud
26,S7,231.9,9.0,0.01714,charging,fraud
27,S7,230.7,9.0,0.01772,charging,fraud
28,S7,230.9,9.8,0.01835,charging,fraud
29,S7,231.1,9.4,0.01895,finished,fraud
0,S8,227.0,9.0,0.00057,charging,normal
1,S8,227.1,9.6,0.00117,charging,normal
2,S8,226.5,9.0,0.00174,charging,normal
3,S8,226.6,9.0,0.00231,charging,normal
4,S8,226.8,9.3,0.00289,charging,normal
5,S8,227.1,9.4,0.00348,charging,normal
6,S8,226.8,9.2,0.00406,charging,normal
7,S8,227.4,9.6,0.00467,charging,normal
8,S8,227.8,9.0,0.00524,charging,normal
9,S8,227.1,9.0,0.00581,charging,normal
10,S8,227.1,9.3,0.00639,charging,normal
11,S8,226.4,9.2,0.00697,charging,normal
12,S8,227.0,9.1,0.00755,charging,normal
13,S8,227.4,9.1,0.00812,charging,normal
14,S8,228.0,9.8,0.00874,charging,normal
15,S8,226.3,9.3,0.00933,charging,normal
16,S8,227.5,9.4,0.00992,charging,normal
17,S8,227.5,8.8,0.01048,charging,normal
18,S8,227.6,8.8,0.01103,charging,normal
19,S8,226.7,9.4,0.01163,charging,normal
20,S8,227.7,9.6,0.01223,charging,normal
21,S8,227.8,8.8,0.01279,charging,normal
22,S8,227.6,9.2,0.01337,charging,normal
23,S8,227.8,9.4,0.01397,charging,normal
24,S8,226.9,9.3,0.01455,charging,normal
25,S8,228.1,9.1,0.01513,charging,normal
26,S8,228.0,9.6,0.01574,charging,normal
27,S8,227.0,9.0,0.0163,charging,normal
28,S8,227.0,9.4,0.0169,charging,normal
29,S8,227.5,8.8,0.01745,finished,normal
0,S9,231.5,11.2,0.00072,charging,normal
1,S9,230.4,10.5,0.00139,charging,normal
2,S9,230.9,11.2,0.00211,charging,normal
3,S9,231.2,10.9,0.00281,charging,normal
4,S9,231.3,10.5,0.00349,charging,normal
5,S9,232.0,11.0,0.00419,charging,normal
6,S9,231.0,11.0,0.0049,charging,normal
7,S9,230.6,10.8,0.00559,charging,normal
8,S9,231.6,10.4,0.00626,charging,normal
9,S9,230.8,10.4,0.00693,charging,normal
10,S9,231.5,11.1,0.00764,charging,normal
11,S9,231.4,11.0,0.00835,charging,normal
12,S9,231.8,10.4,0.00902,charging,normal
13,S9,230.3,11.2,0.00973,charging,normal
14,S9,231.7,10.6,0.01042,charging,normal
15,S9,231.9,10.4,0.01109,charging,normal
16,S9,232.0,11.1,0.0118,charging,normal
17,S9,230.4,11.2,0.01252,charging,normal
18,S9,231.8,10.4,0.01319,charging,normal
19,S9,231.2,10.9,0.01389,charging,normal
20,S9,230.6,11.0,0.01459,charging,normal
21,S9,230.6,11.1,0.0153,charging,normal
22,S9,230.9,10.5,0.01598,charging,normal
23,S9,230.9,10.4,0.01664,charging,normal
24,S9,231.6,10.5,0.01732,charging,normal
25,S9,230.1,11.0,0.01802,charging,normal
26,S9,230.1,10.5,0.01869,charging,normal
27,S9,230.5,10.4,0.01936,charging,normal
28,S9,231.6,10.5,0.02004,charging,normal
29,S9,231.4,10.9,0.02074,finished,normal
0,S10,230.8,10.4,0.00067,charging,fraud
1,S10,230.3,10.8,0.00136,charging,fraud
2,S10,230.1,11.1,0.00207,charging,fraud
3,S10,230.6,10.4,0.00273,charging,fraud
4,S10,230.2,10.4,0.0034,charging,fraud
5,S10,229.4,10.8,0.00409,charging,fraud
6,S10,230.4,10.9,0.00478,charging,fraud
7,S10,230.0,10.6,0.00546,charging,fraud
8,S10,230.1,10.7,0.00615,charging,fraud
9,S10,229.5,10.5,0.00681,charging,fraud
10,S10,164.6,11.0,0.00732,charging,fraud
11,S10,164.5,10.4,0.00779,charging,fraud
12,S10,187.4,10.4,0.00833,charging,fraud
13,S10,175.4,10.6,0.00885,charging,fraud
14,S10,179.8,10.2,0.00936,charging,fraud
15,S10,229.8,10.3,0.01002,charging,fraud
16,S10,230.2,10.3,0.01068,charging,fraud
17,S10,230.8,11.1,0.01139,charging,fraud
18,S10,229.9,10.3,0.01205,charging,fraud
19,S10,230.8,10.9,0.01274,charging,fraud
20,S10,229.1,10.8,0.01343,charging,fraud
21,S10,230.1,10.3,0.01409,charging,fraud
22,S10,230.4,10.2,0.01474,charging,fraud
23,S10,230.4,10.6,0.01542,charging,fraud
24,S10,229.8,10.3,0.01608,charging,fraud
25,S10,230.1,10.3,0.01674,charging,fraud
26,S10,229.9,10.8,0.01743,charging,fraud
27,S10,230.4,11.1,0.01814,charging,fraud
28,S10,229.8,10.7,0.01882,charging,fraud
29,S10,229.4,10.2,0.01947,finished,fraud
0,S11,230.4,9.6,0.00061,charging,normal
1,S11,231.0,8.9,0.00119,charging,normal
2,S11,230.6,9.4,0.00179,charging,normal
3,S11,231.2,9.4,0.00239,charging,normal
4,S11,231.0,9.4,0.00299,charging,normal
5,S11,230.0,8.6,0.00354,charging,normal
6,S11,229.9,8.9,0.00411,charging,normal
7,S11,231.1,9.6,0.00473,charging,normal
8,S11,230.7,8.7,0.00529,charging,normal
9,S11,230.2,9.5,0.00589,charging,normal
10,S11,230.4,9.4,0.0065,charging,normal
11,S11,230.9,9.6,0.00711,charging,normal
12,S11,230.9,9.0,0.00769,charging,normal
13,S11,231.1,9.3,0.00829,charging,normal
14,S11,229.3,8.7,0.00884,charging,normal
15,S11,230.4,8.7,0.0094,charging,normal
16,S11,229.6,8.8,0.00996,charging,normal
17,S11,230.1,9.6,0.01057,charging,normal
18,S11,231.1,9.2,0.01116,charging,normal
19,S11,231.0,8.8,0.01173,charging,normal
20,S11,229.6,9.0,0.0123,charging,normal
21,S11,230.2,8.8,0.01286,charging,normal
22,S11,229.9,9.1,0.01344,charging,normal
23,S11,229.9,9.6,0.01406,charging,normal
24,S11,230.7,9.6,0.01467,charging,normal
25,S11,229.7,8.7,0.01523,charging,normal
26,S11,230.0,8.9,0.0158,charging,normal
27,S11,230.9,9.3,0.01639,charging,normal
28,S11,231.2,9.0,0.01697,charging,normal
29,S11,229.9,9.3,0.01756,finished,normal
0,S12,228.1,10.8,0.00068,charging,normal
1,S12,227.8,10.4,0.00134,charging,normal
2,S12,228.1,10.3,0.002,charging,normal
3,S12,228.6,10.2,0.00264,charging,normal
4,S12,227.5,10.4,0.0033,charging,normal
5,S12,228.7,10.2,0.00395,charging,normal
6,S12,227.1,10.0,0.00458,charging,normal
7,S12,226.9,10.4,0.00523,charging,normal
8,S12,228.7,10.1,0.00588,charging,normal
9,S12,228.2,10.0,0.00651,charging,normal
10,S12,228.8,10.6,0.00718,charging,normal
11,S12,228.1,10.6,0.00786,charging,normal
12,S12,227.0,10.5,0.00852,charging,normal
13,S12,228.8,10.1,0.00916,charging,normal
14,S12,226.9,9.8,0.00978,charging,normal
15,S12,228.1,10.5,0.01044,charging,normal
16,S12,228.7,10.1,0.01108,charging,normal
17,S12,228.5,10.0,0.01172,charging,normal
18,S12,227.2,10.4,0.01237,charging,normal
19,S12,228.3,10.5,0.01304,charging,normal
20,S12,227.5,10.1,0.01368,charging,normal
21,S12,227.0,9.8,0.0143,charging,normal
22,S12,228.7,10.2,0.01494,charging,normal
23,S12,227.0,10.1,0.01558,charging,normal
24,S12,227.7,9.9,0.01621,charging,normal
25,S12,227.3,10.5,0.01687,charging,normal
26,S12,227.3,10.7,0.01755,charging,normal
27,S12,227.7,9.8,0.01817,charging,normal
28,S12,227.0,9.9,0.01879,charging,normal
29,S12,227.3,10.7,0.01947,finished,normal
0,S13,232.2,10.1,0.00065,charging,fraud
1,S13,231.9,10.1,0.0013,charging,fraud
2,S13,233.0,9.5,0.00192,charging,fraud
3,S13,233.3,9.9,0.00256,charging,fraud
4,S13,233.1,9.8,0.00319,charging,fraud
5,S13,233.4,10.0,0.00384,charging,fraud
6,S13,231.7,9.9,0.00448,charging,fraud
7,S13,231.7,9.3,0.00508,charging,fraud
8,S13,232.9,9.7,0.0057,charging,fraud
9,S13,231.7,9.8,0.00634,charging,fraud
10,S13,233.3,60.3,0.01024,charging,fraud
11,S13,233.1,64.5,0.01442,charging,fraud
12,S13,231.7,70.9,0.01898,charging,fraud
13,S13,231.5,75.0,0.02381,charging,fraud
14,S13,233.0,73.9,0.02859,charging,fraud
15,S13,232.2,9.4,0.02919,charging,fraud
16,S13,233.4,10.1,0.02985,charging,fraud
17,S13,232.2,10.1,0.0305,charging,fraud
18,S13,232.8,9.4,0.03111,charging,fraud
19,S13,232.5,9.6,0.03173,charging,fraud
20,S13,232.2,9.6,0.03235,charging,fraud
21,S13,232.2,9.7,0.03297,charging,fraud
22,S13,232.2,9.4,0.03358,charging,fraud
23,S13,231.6,10.1,0.03423,charging,fraud
24,S13,232.6,10.1,0.03488,charging,fraud
25,S13,232.2,10.1,0.03553,charging,fraud
26,S13,232.5,9.8,0.03617,charging,fraud
27,S13,233.3,9.7,0.0368,charging,fraud
28,S13,232.4,10.0,0.03744,charging,fraud
29,S13,233.2,9.6,0.03806,finished,fraud
0,S14,230.4,10.1,0.00065,charging,normal
1,S14,231.4,9.8,0.00128,charging,normal
2,S14,231.8,10.1,0.00193,charging,normal
3,S14,232.0,10.1,0.00258,charging,normal
4,S14,230.5,10.1,0.00322,charging,normal
5,S14,231.4,10.3,0.00389,charging,normal
6,S14,230.9,9.5,0.0045,charging,normal
7,S14,230.5,9.9,0.00513,charging,normal
8,S14,230.4,10.2,0.00578,charging,normal
9,S14,232.0,9.9,0.00642,charging,normal
10,S14,230.7,9.4,0.00702,charging,normal
11,S14,231.5,10.3,0.00769,charging,normal
12,S14,231.0,10.1,0.00833,charging,normal
13,S14,230.7,10.0,0.00897,charging,normal
14,S14,231.4,9.6,0.00959,charging,normal
15,S14,230.8,10.2,0.01024,charging,normal
16,S14,231.7,9.9,0.01088,charging,normal
17,S14,230.1,9.9,0.01151,charging,normal
18,S14,230.1,10.1,0.01216,charging,normal
19,S14,230.6,10.3,0.01282,charging,normal
20,S14,231.9,10.2,0.01348,charging,normal
21,S14,230.6,9.4,0.01408,charging,normal
22,S14,231.8,9.5,0.01469,charging,normal
23,S14,230.4,10.1,0.01534,charging,normal
24,S14,230.9,10.3,0.016,charging,normal
25,S14,230.7,10.3,0.01666,charging,normal
26,S14,231.2,9.5,0.01727,charging,normal
27,S14,231.7,9.5,0.01788,charging,normal
28,S14,230.7,9.6,0.01849,charging,normal
29,S14,231.4,9.7,0.01912,finished,normal
0,S15,232.7,10.6,0.00069,charging,normal
1,S15,232.7,10.6,0.00137,charging,normal
2,S15,233.5,10.5,0.00205,charging,normal
3,S15,233.7,10.3,0.00272,charging,normal
4,S15,232.8,10.5,0.0034,charging,normal
5,S15,231.8,10.7,0.00409,charging,normal
6,S15,232.3,10.5,0.00477,charging,normal
7,S15,233.2,10.2,0.00543,charging,normal
8,S15,233.1,10.3,0.00609,charging,normal
9,S15,233.0,10.9,0.0068,charging,normal
10,S15,232.1,10.0,0.00744,charging,normal
11,S15,232.3,10.5,0.00812,charging,normal
12,S15,232.4,10.3,0.00879,charging,normal
13,S15,233.5,10.3,0.00945,charging,normal
14,S15,233.4,10.9,0.01016,charging,normal
15,S15,233.6,10.3,0.01083,charging,normal
16,S15,232.0,10.6,0.01151,charging,normal
17,S15,232.8,10.6,0.0122,charging,normal
18,S15,233.5,10.8,0.0129,charging,normal
19,S15,232.4,10.4,0.01357,charging,normal
20,S15,232.4,10.9,0.01427,charging,normal
21,S15,232.1,10.6,0.01496,charging,normal
22,S15,232.8,10.2,0.01562,charging,normal
23,S15,232.8,10.6,0.0163,charging,normal
24,S15,233.5,10.8,0.017,charging,normal
25,S15,232.7,10.1,0.01765,charging,normal
26,S15,232.2,10.5,0.01833,charging,normal
27,S15,232.8,10.3,0.019,charging,normal
28,S15,232.9,9.9,0.01964,charging,normal
29,S15,232.2,10.0,0.02028,finished,normal
0,S16,230.8,10.0,0.00064,charging,normal
1,S16,231.1,9.2,0.00123,charging,normal
2,S16,230.5,9.2,0.00182,charging,normal
3,S16,230.9,10.0,0.00246,charging,normal
4,S16,232.0,9.9,0.0031,charging,normal
5,S16,231.8,10.0,0.00374,charging,normal
6,S16,230.7,9.5,0.00435,charging,normal
7,S16,232.0,9.4,0.00496,charging,normal
8,S16,232.0,9.2,0.00555,charging,normal
9,S16,230.7,9.7,0.00617,charging,normal
10,S16,230.8,9.9,0.00681,charging,normal
11,S16,230.7,9.5,0.00742,charging,normal
12,S16,230.7,10.1,0.00806,charging,normal
13,S16,231.7,9.6,0.00868,charging,normal
14,S16,230.5,9.3,0.00928,charging,normal
15,S16,231.7,9.9,0.00991,charging,normal
16,S16,232.0,9.8,0.01055,charging,normal
17,S16,231.2,9.8,0.01118,charging,normal
18,S16,231.8,9.6,0.01179,charging,normal
19,S16,231.3,9.3,0.01239,charging,normal
20,S16,231.7,9.6,0.01301,charging,normal
21,S16,232.3,10.0,0.01365,charging,normal
22,S16,232.4,9.3,0.01425,charging,normal
23,S16,232.3,10.0,0.0149,charging,normal
24,S16,232.3,10.0,0.01554,charging,normal
25,S16,231.7,9.9,0.01618,charging,normal
26,S16,232.4,9.5,0.0168,charging,normal
27,S16,230.6,9.9,0.01743,charging,normal
28,S16,231.0,9.5,0.01804,charging,normal
29,S16,231.5,9.3,0.01864,finished,normal
0,S17,233.7,10.0,0.00065,charging,normal
1,S17,232.2,9.9,0.00129,charging,normal
2,S17,232.1,10.3,0.00195,charging,normal
3,S17,232.1,10.3,0.00262,charging,normal
4,S17,232.7,10.3,0.00328,charging,normal
5,S17,232.2,10.5,0.00396,charging,normal
6,S17,231.9,10.3,0.00462,charging,normal
7,S17,233.7,9.9,0.00527,charging,normal
8,S17,233.5,10.1,0.00592,charging,normal
9,S17,232.8,10.3,0.00659,charging,normal
10,S17,233.3,10.0,0.00723,charging,normal
11,S17,233.4,10.3,0.0079,charging,normal
12,S17,232.8,10.5,0.00858,charging,normal
13,S17,233.7,9.7,0.00921,charging,normal
14,S17,232.3,10.4,0.00988,charging,normal
15,S17,232.1,10.3,0.01055,charging,normal
16,S17,233.2,9.8,0.01118,charging,normal
17,S17,233.3,9.8,0.01182,charging,normal
18,S17,232.4,10.2,0.01247,charging,normal
19,S17,232.9,10.0,0.01312,charging,normal
20,S17,233.4,10.1,0.01378,charging,normal
21,S17,233.6,10.0,0.01442,charging,normal
22,S17,232.3,10.2,0.01508,charging,normal
23,S17,232.5,9.6,0.0157,charging,normal
24,S17,233.9,9.8,0.01634,charging,normal
25,S17,233.2,10.0,0.01699,charging,normal
26,S17,232.2,9.6,0.01761,charging,normal
27,S17,232.8,10.0,0.01825,charging,normal
28,S17,233.2,9.8,0.01889,charging,normal
29,S17,232.6,10.0,0.01953,finished,normal
0,S18,228.0,10.0,0.00063,charging,normal
1,S18,228.1,9.7,0.00125,charging,normal
2,S18,227.7,10.2,0.00189,charging,normal
3,S18,227.5,9.5,0.00249,charging,normal
4,S18,227.5,9.4,0.00309,charging,normal
5,S18,228.0,9.2,0.00367,charging,normal
6,S18,227.9,9.9,0.0043,charging,normal
7,S18,228.2,10.0,0.00493,charging,normal
8,S18,228.0,10.1,0.00557,charging,normal
9,S18,226.8,9.7,0.00618,charging,normal
10,S18,227.7,9.5,0.00678,charging,normal
11,S18,227.4,9.2,0.00736,charging,normal
12,S18,226.9,9.4,0.00796,charging,normal
13,S18,227.4,10.0,0.00859,charging,normal
14,S18,226.6,9.6,0.00919,charging,normal
15,S18,227.0,9.4,0.00978,charging,normal
16,S18,228.0,9.5,0.01039,charging,normal
17,S18,226.8,9.6,0.01099,charging,normal
18,S18,226.6,9.3,0.01158,charging,normal
19,S18,227.0,10.0,0.01221,charging,normal
20,S18,228.2,9.4,0.0128,charging,normal
21,S18,227.1,9.9,0.01343,charging,normal
22,S18,227.1,10.2,0.01407,charging,normal
23,S18,228.3,9.3,0.01466,charging,normal
24,S18,226.6,9.5,0.01526,charging,normal
25,S18,228.2,10.0,0.01589,charging,normal
26,S18,227.7,10.0,0.01653,charging,normal
27,S18,226.5,10.0,0.01715,charging,normal
28,S18,227.2,9.6,0.01776,charging,normal
29,S18,226.6,10.1,0.0184,finished,normal
0,S19,229.1,9.7,0.00062,charging,fraud
1,S19,229.3,9.7,0.00124,charging,fraud
2,S19,228.8,9.3,0.00183,charging,fraud
3,S19,230.2,9.4,0.00243,charging,fraud
4,S19,228.9,9.4,0.00302,charging,fraud
5,S19,229.6,9.6,0.00364,charging,fraud
6,S19,229.6,9.5,0.00424,charging,fraud
7,S19,229.8,9.1,0.00482,charging,fraud
8,S19,230.3,8.9,0.00539,charging,fraud
9,S19,229.4,8.9,0.00596,charging,fraud
10,S19,229.5,9.2,0.0,charging,fraud
11,S19,230.3,9.2,0.0,charging,fraud
12,S19,228.5,9.1,0.0,charging,fraud
13,S19,229.3,9.8,0.0,charging,fraud
14,S19,229.1,9.6,0.0,charging,fraud
15,S19,228.8,9.8,0.00062,charging,fraud
16,S19,228.6,9.8,0.00125,charging,fraud
17,S19,229.3,9.7,0.00186,charging,fraud
18,S19,228.8,9.5,0.00247,charging,fraud
19,S19,228.7,9.0,0.00304,charging,fraud
20,S19,229.1,9.6,0.00365,charging,fraud
21,S19,229.8,9.6,0.00426,charging,fraud
22,S19,228.3,8.9,0.00483,charging,fraud
23,S19,229.2,9.4,0.00543,charging,fraud
24,S19,228.4,9.5,0.00603,charging,fraud
25,S19,229.7,9.6,0.00664,charging,fraud
26,S19,229.0,9.1,0.00722,charging,fraud
27,S19,230.0,9.1,0.0078,charging,fraud
28,S19,229.3,9.5,0.00841,charging,fraud
29,S19,229.2,9.8,0.00903,finished,fraud
0,S20,230.5,10.3,0.00066,charging,fraud
1,S20,229.4,11.1,0.00137,charging,fraud
2,S20,229.6,10.6,0.00204,charging,fraud
3,S20,229.0,11.1,0.00275,charging,fraud
4,S20,230.1,11.1,0.00346,charging,fraud
5,S20,228.7,10.4,0.00412,charging,fraud
